freebsd/man3/ctype_l.3           digittoint_l,isalnum_l,isalpha_l,isascii_l,isblank_l,iscntrl_l,isdigit_l,isgraph_l,ishexnumber_l,isideogram_l,islower_l,isnumber_l,isphonogram_l,isprint_l,ispunct_l,isrune_l,isspace_l,isspecial_l,isupper_l,isxdigit_l,tolower_l,toupper_l
freebsd/man3/daemon.3            daemon
freebsd/man3/dbm.3               dbm_clearerr,dbm_close,dbm_delete,dbm_dirfno,dbm_error,dbm_fetch,dbm_firstkey,dbm_nextkey,dbm_open,dbm_store
freebsd/man3/dbopen.3            dbopen
freebsd/man3/des_crypt.3         des_crypt
freebsd/man3/devname.3           devname
freebsd/man3/digittoint.3        digittoint
freebsd/man3/directory.3         opendir,fdopendir,readdir,readdir_r,telldir,seekdir,rewinddir,closedir,fdclosedir,dirfd
freebsd/man3/dirname.3           dirname
freebsd/man3/div.3               div
freebsd/man3/dl_iterate_phdr.3   dl_iterate_phdr
freebsd/man3/dladdr.3            dladdr
freebsd/man3/dlinfo.3            dlinfo
freebsd/man3/dllockinit.3        dllockinit
freebsd/man3/dlopen.3            dlopen,fdlopen,dlsym,dlvsym,dlfunc,dlerror,dlclose
freebsd/man3/dup3.3              dup3
freebsd/man3/duplocale.3         duplocale
freebsd/man3/err.3               err,verr,errc,verrc,errx,verrx,warn,vwarn,warnc,vwarnc,warnx,vwarnx,err_set_exit,err_set_file
freebsd/man3/ethers.3            ethers,ether_line,ether_aton,ether_aton_r,ether_ntoa,ether_ntoa_r,ether_ntohost,ether_hostton
freebsd/man3/eui64.3             eui64,.\",.Nm,eui64_line,eui64_aton,eui64_ntoa,eui64_ntohost,eui64_hostton
freebsd/man3/exec.3              execl,execlp,execle,exect,execv,execvp,execvP
freebsd/man3/exit.3              exit
freebsd/man3/extattr.3           extattr_namespace_to_string,extattr_string_to_namespace,vice,versa
freebsd/man3/fclose.3            fclose,fdclose,fcloseall
freebsd/man3/feature_present.3   feature_present
freebsd/man3/ferror.3            clearerr,clearerr_unlocked,feof,feof_unlocked,ferror,ferror_unlocked,fileno,fileno_unlocked
freebsd/man3/fflush.3            fflush,fpurge
freebsd/man3/ffs.3               ffs,ffsl,ffsll,fls,flsl,flsll
freebsd/man3/fgetln.3            fgetln
freebsd/man3/fgets.3             fgets,gets,gets_s
freebsd/man3/fgetwln.3           fgetwln
freebsd/man3/fgetws.3            fgetws
freebsd/man3/flockfile.3         flockfile,ftrylockfile,funlockfile
freebsd/man3/fmtcheck.3          fmtcheck,.Xr,printf,3,Ns,-style,format,string
freebsd/man3/fmtmsg.3            fmtmsg
freebsd/man3/fnmatch.3           fnmatch
freebsd/man3/fopen.3             fopen,fdopen,freopen,fmemopen
freebsd/man3/fopencookie.3       fopencookie
freebsd/man3/fpclassify.3        fpclassify
freebsd/man3/fputs.3             fputs,puts
freebsd/man3/fputws.3            fputws
freebsd/man3/fread.3             fread,fwrite
freebsd/man3/freelocale.3        freelocale,.Xr,duplocale,3,or,.Xr,newlocale,3
freebsd/man3/frexp.3             frexp,frexpf,frexpl
freebsd/man3/fseek.3             fgetpos,fseek,fseeko,fsetpos,ftell,ftello,rewind
freebsd/man3/ftok.3              ftok
freebsd/man3/fts.3               fts
freebsd/man3/ftw.3               ftw
freebsd/man3/funopen.3           funopen,fropen,fwopen
freebsd/man3/fwide.3             fwide
freebsd/man3/gai_strerror.3      gai_strerror
freebsd/man3/getaddrinfo.3       getaddrinfo,freeaddrinfo
freebsd/man3/getbootfile.3       getbootfile
freebsd/man3/getbsize.3          getbsize
freebsd/man3/getc.3              fgetc,getc,getc_unlocked,getchar,getchar_unlocked,getw
freebsd/man3/getcap.3            cgetent,cgetset,cgetmatch,cgetcap,cgetnum,cgetstr,cgetustr,cgetfirst,cgetnext,cgetclose
freebsd/man3/getcontext.3        getcontext
freebsd/man3/getcwd.3            getcwd,getwd
freebsd/man3/getdiskbyname.3     getdiskbyname
freebsd/man3/getdomainname.3     getdomainname,setdomainname
freebsd/man3/getentropy.3        getentropy
freebsd/man3/getenv.3            getenv,putenv,setenv,unsetenv
freebsd/man3/getfsent.3          getfsent,getfsspec,getfsfile,setfsent,endfsent
freebsd/man3/getgrent.3          getgrent,getgrent_r,getgrnam,getgrnam_r,getgrgid,getgrgid_r,setgroupent,setgrent,endgrent
